num_epoch, train_loss, train_acc, valid loss, valid_test
Model 0, policy step [False, False, False, False, False, False, False, True].
36,0.721160,75,0.764738,73
37,0.695464,78,0.762718,73
38,0.711697,75,0.761462,73
39,0.681965,78,0.762170,73
40,0.659904,78,0.759597,73
41,0.668078,79,0.758565,73
42,0.689232,76,0.758146,73
43,0.624883,79,0.758038,73
44,0.691379,77,0.756421,73
45,0.643212,79,0.754960,73
46,0.684508,77,0.755273,73
47,0.634706,78,0.754178,73
48,0.697206,76,0.754364,73
49,0.641977,78,0.752898,73
50,0.660927,77,0.752119,73
51,0.660404,77,0.750950,73
52,0.639322,78,0.749736,73
53,0.645398,79,0.748624,73
54,0.700798,76,0.747954,73
55,0.666920,78,0.748378,73
56,0.645881,79,0.747421,73
57,0.641591,79,0.745759,73
58,0.639524,79,0.745509,73
59,0.674792,77,0.743570,73
60,0.652575,78,0.742285,73
61,0.654192,77,0.742390,73
62,0.628997,78,0.742647,73
Model saved at 1571876358/1.pt
Final Valid Loss: 0.742647, Final Valid Acc: 73
Model 2, policy step [False, False, False, False, False, True, True, True].
1,0.654807,79,0.742257,73
2,0.671348,78,0.741417,73
3,0.654036,78,0.740729,73
4,0.659627,77,0.738156,73
5,0.622923,79,0.737471,73
6,0.660121,78,0.736496,74
7,0.651377,77,0.736337,74
8,0.674518,77,0.735764,74
9,0.606969,79,0.733455,74
10,0.595528,80,0.733640,73
11,0.635838,78,0.731565,74
12,0.598862,81,0.730777,74
13,0.638220,78,0.729352,74
14,0.617828,79,0.728140,74
15,0.627593,78,0.726790,74
16,0.630822,78,0.726485,74
17,0.621727,78,0.726599,74
18,0.615164,79,0.724502,74
19,0.608368,80,0.723236,74
20,0.613168,80,0.722758,74
21,0.625333,79,0.722065,74
22,0.638917,77,0.721528,74
23,0.585481,80,0.719651,74
24,0.608711,77,0.719171,74
25,0.625923,78,0.718809,74
26,0.615508,79,0.717060,74
27,0.606767,79,0.716815,74
28,0.597210,80,0.715375,74
29,0.588627,81,0.714478,74
30,0.575026,81,0.713292,74
31,0.618437,79,0.713858,74
32,0.632813,79,0.713060,74
33,0.555564,83,0.711822,74
34,0.588941,80,0.711400,74
35,0.607001,79,0.711329,74
36,0.614695,80,0.710557,74
37,0.617913,78,0.710346,74
38,0.586070,81,0.707487,74
39,0.608315,79,0.707820,74
40,0.574532,81,0.705972,74
41,0.615834,78,0.705956,75
42,0.603735,79,0.703968,75
43,0.594360,81,0.706193,74
44,0.562601,83,0.703629,75
45,0.598667,79,0.702485,75
46,0.610148,79,0.702180,75
47,0.585014,80,0.701377,75
48,0.609885,80,0.700349,74
49,0.589792,79,0.700084,74
50,0.549589,81,0.699458,75
51,0.592674,81,0.699289,75
52,0.570140,81,0.700024,75
53,0.540868,81,0.696859,75
54,0.575014,81,0.697297,75
55,0.558585,81,0.697260,75
Model saved at 1571876358/2.pt
Final Valid Loss: 0.697260, Final Valid Acc: 75
Model 3, policy step [False, False, False, False, True, True, True, True].
1,0.556847,80,0.696378,75
2,0.547650,81,0.694412,75
3,0.593856,79,0.692635,75
4,0.561497,81,0.691671,75
5,0.543232,82,0.692764,74
6,0.577386,80,0.689617,75
7,0.562809,81,0.689251,75
8,0.561478,82,0.687231,76
9,0.562543,82,0.686546,75
10,0.588013,80,0.685728,75
11,0.563739,82,0.684973,75
12,0.559517,83,0.682960,75
13,0.514671,83,0.682405,75
14,0.548781,82,0.681317,75
15,0.558568,82,0.679963,75
16,0.498126,83,0.678165,76
17,0.519493,82,0.677566,75
18,0.596634,80,0.676810,76
19,0.548793,82,0.675332,75
20,0.531949,81,0.674278,76
21,0.531471,83,0.673359,76
22,0.499678,83,0.672746,76
23,0.562295,82,0.672763,75
24,0.508936,84,0.671077,76
25,0.489916,83,0.670559,75
26,0.519912,83,0.668985,76
27,0.527999,82,0.667622,76
28,0.495122,84,0.666396,76
29,0.511012,82,0.666429,76
30,0.531925,82,0.665547,76
31,0.510377,82,0.663797,76
32,0.535579,81,0.664376,76
33,0.520271,83,0.663707,76
34,0.476237,84,0.660835,76
35,0.511897,83,0.660605,76
36,0.513322,82,0.661472,76
37,0.524415,82,0.660218,76
38,0.483305,84,0.659959,76
39,0.502668,83,0.660385,76
40,0.476358,84,0.658822,76
41,0.485129,85,0.655702,76
42,0.523020,81,0.654941,76
43,0.517806,82,0.655005,76
44,0.478224,84,0.653762,76
45,0.493342,83,0.654470,76
46,0.500489,83,0.653135,76
47,0.493448,83,0.651911,76
48,0.507867,84,0.651124,76
49,0.505766,83,0.650098,76
50,0.493738,83,0.650343,76
51,0.468280,84,0.649572,76
52,0.496766,84,0.648344,77
53,0.515308,84,0.648462,77
54,0.474010,85,0.646687,76
55,0.467943,84,0.645692,76
